ID	geo_loc_v2	Country	State/Prov	iso_dat_v2	outbreak_id.v2	serovar	Plasmids	iso_source
FDA488275	USA:RI	USA	RI	2010-01-25	otbk-4	montevideo	none	peppercorn
FDA3959	USA:CA	USA	CA	2008-09	otbk-2	montevideo	AH155	pistachio
FDA515101576	USA:CA	USA	CA	2008-11	otbk-2	montevideo	AD690 + AH155	nut raisin blend trail mixture
FDA314996875	USA:CA	USA	CA	2008-11	otbk-2	montevideo	AD690 + AH155	nut raisin blend trail mixture
FDA361154004	USA	USA		2009-07	otbk-2	senftenberg	AA739	shelled pistachio
FDA316118221	USA:CA	USA	CA	2009-03	otbk-2	montevideo	AB050	pistachio
FDA316046633	USA:CA	USA	CA	2009-03	otbk-2	montevideo	none	cashew/almond/pistachio blend
FDA316235718	USA:CA	USA	CA	2009-03	otbk-2	montevideo	AE430 + AH155	pistachio
FDA316235162	USA	USA		2009-06	otbk-2	senftenberg	none	pistachio
FDA315382737	USA	USA		2009	0904MLJIX-1	montevideo	none	pistachio
FDA315101734	USA:CA	USA	CA	2008-12	otbk-2	montevideo	AD690 + AH155	nut raisin blend trail mixture
FDA315900197	USA:CA	USA	CA	2008-10	otbk-2	montevideo	AD158 + AH155	nut raisin blend trail mixture
FDA513934_2124_A	USA:GA	USA	GA	2009-01-15	otbk-42	typhimurium	AB460	peanut butter
FDA513934_2124_B1	USA:GA	USA	GA	2009-01-15	otbk-42	typhimurium	AB460	peanut butter
FDA513934_2124_B2	USA:GA	USA	GA	2009-01-15	0811SDCJPX-1c	typhimurium	AB460	peanut butter
FDA513934_2124_C	USA:GA	USA	GA	2009-01-15	otbk-42	typhimurium	AB460	peanut butter
FDA513934_2124_D	USA:GA	USA	GA	2009-01-15	otbk-42	typhimurium	AB460	peanut butter
FDA513934_2124_E1	USA:GA	USA	GA	2009-01-15	0811SDCJPX-1c	typhimurium	AB460	peanut butter
FDA513934_2124_E2	USA:GA	USA	GA	2009-01-15	otbk-42	typhimurium	AB460	peanut butter
FDA513934_2124_F	USA:GA	USA	GA	2009-01-15	otbk-42	typhimurium	AB460	peanut butter
FDA516834_3_3	USA	USA		2009-02-03	otbk-41	typhimurium	AB460 + AA372 + AA372	cheese cracker with peanut butter
FDA516834_3_5	USA	USA		2009-02-03	otbk-41	typhimurium	AA372 + AB460	cheese cracker with peanut butter
FDA757378_1_32	MEX	MEX		2012-05-23	1206MLJAB-1	agona	AA739 + AD342	papaya
FDA757378_1_13	MEX	MEX		2012-05-23	1206MLJAB-1	agona	AA739 + AD342	papaya
FDA515920_2	USA:RI	USA	RI	2010-01-16	otbk-4	montevideo	none	peppercorn
FDA525769_1	FRA	FRA		2009-03-10	0903MLJEG-1	enteritidis	AB461	morbier cheese
FDA525769_2	FRA	FRA		2009-03-10	0903MLJEG-1	enteritidis	AB461	morbier cheese
FDA468879_3	USA:RI	USA	RI	2010-02-14	otbk-4	montevideo	none	red pepper
FDA468879_5	USA:RI	USA	RI	2010-02-14	otbk-4	montevideo	none	red pepper
FDA495297_1	USA:RI	USA	RI	2010-01	otbk-4	montevideo	none	peppercorn
